"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"60","Sterling Shepard","NYG","wr","11","16","189.1","10","0","0","0","0","0","0","3.7602","24.8437","0.1185","105.5115","70.2365","846.962","5.1636","0.7277","0.3638","0.1572","190.0965","0.2256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Jarvis Landry","CLV","wr","7","16","188.5","10","0","0","0","0","0","0","3.927","25.3948","0.1026","106.967","76.1105","812.4509","4.7325","1.1823","0.5912","0.0998","42.3332","0.0385","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Tyler Lockett","SEA","wr","11","16","188.5","10","0","0","0","0","0","0","9.2902","67.8633","0.3266","79.383","56.257","847.2914","6.4667","0.9537","0.4768","0.2045","732.2871","0.5353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","Austin Ekeler","LAC","rb","12","16","159.3","10","0","0","0","0","0","0","92.439","453.8305","4.1223","46.8165","39.322","374.6412","2.1329","0.8963","0.4482","0.0362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Hunter Henry","LAC","te","12","16","172.7","10","0","0","0","0","0","0","0","0","0","83.2293","60.015","814.1303","5.2057","0.1839","0.0919","0.0882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","O.J. Howard","TB","te","7","16","172.4","10","0","0","0","0","0","0","0","0","0","81.0147","56.5787","825.6376","5.5451","0.4731","0.2366","0.1096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Cam Newton","CAR","qb","7","16","326.4","10","342.8631","527.5559","3770.835","22.7023","13.0037","40.5535","123.8829","655.0113","5.5172","0","0","0","0","5.8043","2.9022","1.0403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Donte Moncrief","PIT","wr","7","16","186.9","10","0","0","0","0","0","0","0","0","0","101.8738","65.9993","856.3117","5.8746","0.2264","0.1132","0.0908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","Lamar Miller","HST","rb","10","16","158","10","0","0","0","0","0","0","180.0709","756.899","3.0456","39.8549","32.3563","240.2565","1.3236","0.7046","0.3523","0.0285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","Allen Robinson II","CHI","wr","6","16","184.7","9","0","0","0","0","0","0","0","0","0","110.0864","64.2331","863.5333","5.6915","0.4501","0.225","0.0878","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
